[2025-05-07 20:49:38.162] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-05-07 20:49:38.162] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-05-07 20:49:38.164] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-05-07 20:49:38.164] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-05-07 20:49:38.165] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-05-07 20:49:38.165] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-05-07 20:49:38.166] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-05-07 20:49:38.166] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-05-07 20:49:38.168] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-05-07 20:49:38.169] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-05-07 20:49:38.172] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-05-07 20:49:38.172] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-05-07 20:49:38.174] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-05-07 20:49:38.174] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-05-07 20:49:38.178] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-05-07 20:49:38.178] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-05-07 20:49:38.179] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-05-07 20:49:38.180] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-05-07 20:49:38.181] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
